bean_id,rating,aroma,acidity,body,flavor,aftertaste
311,94,9.0,9.0,9.0,9.0,8.0
312,94,9.0,9.0,9.0,9.0,8.0
313,95,9.0,9.0,9.0,9.0,9.0
314,93,9.0,8.0,9.0,9.0,8.0
315,93,9.0,9.0,8.0,9.0,8.0
316,93,9.0,9.0,8.0,9.0,8.0
317,91,9.0,8.0,8.0,9.0,7.0
318,96,10.0,8.0,9.0,10.0,9.0
319,92,9.0,8.0,9.0,8.0,8.0
320,94,9.0,9.0,9.0,9.0,8.0
321,97,10.0,9.0,9.0,10.0,9.0
322,88,8.0,7.0,8.0,8.0,7.0
323,90,8.0,8.0,8.0,8.0,8.0
324,92,9.0,8.0,8.0,9.0,8.0
325,92,9.0,8.0,8.0,9.0,8.0
326,92,8.0,8.0,9.0,9.0,8.0
327,94,9.0,9.0,9.0,9.0,8.0
328,92,9.0,8.0,8.0,9.0,8.0
329,92,9.0,8.0,9.0,9.0,7.0
330,95,9.0,9.0,9.0,9.0,9.0
331,93,9.0,8.0,9.0,9.0,8.0
332,96,10.0,9.0,9.0,10.0,8.0
333,93,9.0,8.0,9.0,9.0,8.0
334,92,9.0,8.0,8.0,9.0,8.0
335,93,9.0,9.0,8.0,9.0,8.0
336,95,9.0,9.0,9.0,9.0,9.0
337,92,9.0,8.0,8.0,9.0,8.0
338,94,9.0,9.0,9.0,9.0,8.0
339,93,9.0,9.0,8.0,9.0,8.0
340,93,9.0,8.0,9.0,9.0,8.0
341,92,9.0,8.0,8.0,9.0,8.0
342,93,9.0,8.0,9.0,9.0,8.0
343,92,9.0,8.0,8.0,9.0,8.0
344,93,9.0,9.0,8.0,9.0,8.0
345,94,9.0,9.0,9.0,9.0,8.0
346,95,9.0,9.0,9.0,9.0,9.0
347,93,9.0,8.0,9.0,9.0,8.0
348,94,9.0,8.0,9.0,9.0,9.0
349,93,9.0,9.0,8.0,9.0,8.0
350,91,8.0,8.0,8.0,9.0,8.0
351,95,9.0,9.0,8.0,10.0,9.0
352,90,8.0,8.0,8.0,8.0,8.0
353,88,8.0,7.0,8.0,8.0,7.0
354,95,9.0,9.0,9.0,9.0,9.0
355,94,9.0,9.0,9.0,9.0,8.0
356,95,9.0,9.0,9.0,9.0,9.0
357,95,9.0,9.0,9.0,10.0,8.0
358,93,9.0,9.0,8.0,9.0,8.0
359,93,9.0,8.0,9.0,9.0,8.0
360,93,9.0,8.0,9.0,9.0,8.0
361,92,9.0,8.0,8.0,9.0,8.0
362,95,10.0,9.0,9.0,9.0,8.0
363,95,9.0,9.0,9.0,9.0,9.0
364,94,9.0,9.0,9.0,9.0,8.0
365,94,9.0,9.0,9.0,9.0,8.0
366,96,9.0,9.0,9.0,10.0,9.0
367,93,8.0,9.0,9.0,9.0,8.0
368,89,8.0,7.0,8.0,9.0,7.0
369,93,9.0,8.0,9.0,9.0,8.0
370,93,9.0,8.0,9.0,9.0,8.0
371,93,9.0,8.0,9.0,9.0,8.0
372,93,9.0,9.0,8.0,9.0,8.0
373,93,9.0,9.0,8.0,9.0,8.0
374,95,9.0,9.0,9.0,9.0,9.0
375,93,9.0,9.0,8.0,9.0,8.0
376,93,8.0,9.0,9.0,9.0,8.0
377,92,8.0,9.0,8.0,9.0,8.0
378,93,9.0,9.0,8.0,9.0,8.0
379,91,8.0,8.0,9.0,9.0,7.0
380,94,9.0,9.0,9.0,9.0,8.0
381,94,9.0,9.0,9.0,9.0,8.0
382,90,8.0,8.0,8.0,8.0,8.0
383,93,9.0,8.0,9.0,9.0,8.0
384,93,9.0,8.0,9.0,9.0,8.0
385,92,9.0,8.0,8.0,9.0,8.0
386,93,9.0,8.0,9.0,9.0,8.0
387,96,9.0,9.0,9.0,10.0,9.0
388,94,9.0,9.0,9.0,9.0,8.0
389,92,8.0,9.0,8.0,9.0,8.0
390,90,8.0,8.0,8.0,8.0,8.0
391,93,9.0,9.0,8.0,9.0,8.0
392,93,9.0,9.0,8.0,9.0,8.0
393,93,9.0,8.0,9.0,9.0,8.0
394,94,9.0,9.0,9.0,9.0,8.0
395,93,9.0,8.0,9.0,9.0,8.0
396,93,9.0,8.0,9.0,9.0,8.0
397,95,9.0,9.0,9.0,10.0,8.0
398,91,9.0,8.0,8.0,9.0,7.0
399,95,9.0,9.0,8.0,10.0,9.0
400,94,9.0,9.0,9.0,9.0,8.0
401,94,9.0,9.0,9.0,9.0,8.0
402,93,9.0,8.0,9.0,9.0,8.0
403,94,9.0,9.0,9.0,9.0,8.0
404,94,9.0,9.0,9.0,9.0,8.0
405,92,9.0,8.0,8.0,9.0,8.0
406,96,9.0,9.0,9.0,10.0,9.0
407,93,9.0,8.0,9.0,9.0,8.0
408,92,9.0,8.0,8.0,9.0,8.0
409,94,9.0,9.0,9.0,9.0,8.0
410,93,9.0,9.0,8.0,9.0,8.0
411,91,8.0,8.0,8.0,9.0,8.0
412,94,9.0,9.0,9.0,9.0,8.0
413,95,9.0,9.0,9.0,9.0,9.0
414,92,9.0,8.0,8.0,9.0,8.0
415,94,9.0,9.0,9.0,9.0,8.0
416,92,9.0,8.0,9.0,9.0,7.0
417,95,9.0,9.0,9.0,9.0,9.0
418,94,9.0,9.0,9.0,9.0,8.0
419,94,9.0,9.0,9.0,9.0,8.0
420,91,8.0,8.0,8.0,9.0,8.0
421,96,9.0,9.0,9.0,10.0,9.0
422,95,9.0,9.0,9.0,9.0,9.0
423,92,9.0,8.0,8.0,9.0,8.0
424,93,9.0,9.0,8.0,9.0,8.0
425,94,9.0,9.0,9.0,9.0,8.0
426,94,9.0,9.0,9.0,9.0,8.0
427,94,9.0,9.0,9.0,9.0,8.0
428,94,9.0,9.0,9.0,9.0,8.0
429,95,9.0,9.0,9.0,9.0,9.0
430,94,9.0,9.0,8.0,9.0,9.0
431,95,9.0,9.0,9.0,9.0,9.0
432,92,8.0,8.0,9.0,9.0,8.0
433,93,9.0,9.0,8.0,9.0,8.0
434,96,9.0,9.0,9.0,10.0,9.0
435,91,9.0,8.0,8.0,9.0,7.0
436,94,9.0,9.0,9.0,9.0,8.0
437,92,9.0,8.0,8.0,9.0,8.0
438,93,9.0,8.0,9.0,9.0,8.0
439,93,9.0,8.0,9.0,9.0,8.0
440,89,8.0,7.0,8.0,9.0,7.0
441,92,8.0,8.0,9.0,9.0,8.0
442,91,8.0,8.0,8.0,9.0,8.0
443,94,9.0,9.0,9.0,9.0,8.0
444,94,9.0,9.0,9.0,9.0,8.0
445,93,9.0,8.0,9.0,9.0,8.0
446,92,9.0,8.0,8.0,9.0,8.0
447,95,9.0,9.0,9.0,9.0,9.0
448,96,9.0,9.0,9.0,10.0,9.0
449,93,9.0,9.0,8.0,9.0,8.0
450,93,9.0,9.0,8.0,9.0,8.0
